,0,1,2,3,4
0,farp,aviation,aviation assets,division air assault,division air
1,intelligence,326th,specialties,junior,tscif
2,ada,air defense,air,air missile,defense
3,82nd,1100th,helicopter,aviation,tasmg
4,115th,resolute sentinel,resolute,guatemala,sentinel
5,colorado,100th,space,missile defense brigade,defense brigade
6,cloud,gfebs,migration,hub,aesip hub
7,linder,airborne,sumner,said linder,noble partner
8,italian,mensa,food,facility,baldwin
9,crosland,west point,west,point,parents
10,sexual,sexual assault,assault,events,1st tsc
11,jlots,course,bresley,soldiers,discussions
12,apache,national guard,guard,gunnery,national
13,gunnery,ar,137 ar,137,vernon
14,fy21,evaluated,clea,microsoft teams,microsoft
15,data science,intelligence,data,science,analysts
16,volunteers,shields,face shields,face,group
17,217th,jones,burt,brigade,networks
18,smith,cavoli,red ball express,red ball,red
19,266th,21st,theater,operations,fmsc
20,officers,intelligence,yet simple steps,yet simple,use priority intelligence
21,bda,ways conduct bda,ways conduct,train organize g2t,train organize
22,brasher,brasher said,convoy,prt,ana
23,cbrn,competitors,competition,howard,warrior
24,marine,hawaii,artillery,far,valley
25,facility,tcf,everitt,disn,disa central
26,evacuees,freedom,mcclung,village,freedom village
27,hccc,detachment,11th,harbormaster,control
28,3rd,video highlights first,video highlights,training army39s newest,training army39s
29,nelson,nelson said,said,equipment,theater
30,food,lrcnorth,subsistence,food service,service specialist
31,ltesmc,405th,aps2,poland,army field support
32,logcap,flintlock,divoire,cte divoire,cte
33,logcap,power,monico,405th,africa
34,floresrivera,matvs,livorno,said floresrivera,floresrivera said
35,tec,awards,416th,409th,competition
36,signer,loadmaster,evacuation,said signer,mission
37,mncne,command post,division,nato,4th infantry
38,intelligence,rok,inscom,alliance,winegar
39,cold,port opening,cold response,surface,response
40,masks,riggers,prototypes,maintenance section,aviano
41,yang,airman,yang said,citizenship,born
42,pizzi,passengers,airlift,pizzi said,situation
43,klatt,pollak,deon,battalion,652
44,limestone,projects,route,jones,clearance
45,tine,fort devens,devens,812th,signal brigade
46,marine,mv22b,aircraft,marine corps,vertical
47,castellanos,fresno,84th training,84th,served
48,casualty,hrsc,8th,human resources,casualty operations division
49,contracting,installation contracting,contracting command,mission installation contracting,mission installation
50,contracting,923rd,contract,riley,colors
51,ezzat,pentagon,lea,911,could
52,c5isr,cbm,systems,data,c5isr center
53,inf,inf div,div,3rd,national guard
54,manufacturing,additive manufacturing,additive,view full article,view full
55,business,sba,guzman,williams,program
56,sfab,2nd sfab,africa,2nd,sfabs
57,aer,mason,hawaii,reasons,covid
58,peo iews,iews,peo,working peo iews,working peo
59,maintenance,support,battalion,afsbnkorea,2id
60,colombo,colombos,surprise,visit,ederle
61,virus,meddac,singletary,sanitation,environmental services
62,panama,case,hodge,fms,visit
63,battery,slovakia,air defense,air,patriot
64,alaska,scouts,national,national guard,guard
65,technology,jadc2,first corps,americas first corps,americas first
66,altess,cloud,amc,migration,applications
67,patriot,lars,training,glaspie,radar
68,sharp,saapm,amlc,sexual,team
69,hopkins,movement,transportation,fort drum,drum
70,sexual,knox,fort knox,sexual assault,ewingsudds
71,space,badge,space badge,space operations,space enabled
72,cohort,graduates,program,cohort program,cohort 14
73,children,apg,tmas,words,reynolds
74,fire,fire prevention,prevention,apg,safety
75,chiquita,baby,said chiquita,richmond,said
76,flight,zephyr 8,zephyr,uas,endurance
77,cft,navigation,apntspace,apntspace cft,future
78,task force,task,jmtgu,training,ukraine
79,arma,submit,maintenance,work orders,enfield
80,coffman,coffman said,china,armored,said
81,network,division,itn,sbue,data
82,villa,satmo,mcconville,security assistance,assistance
83,rubio,rubio said,iss,astronaut,2017
84,engines,p09,edecu,upgrade,t700
85,rental,rentals,labarge,property,scams
86,social,social media,palmer,media,palmer said
87,cloud,software,plan,design software,cloud plan
88,arcyber,presentation,cyber,army cyber,sanders
89,ia,cyber,summit,arcyber,army cyber
90,innovation,kim,innovators,boston,constitution
91,w photospdf pdf,w photospdf,w,photospdf pdf 13,photospdf pdf
92,videos,food,training videos,dfacs,standards
93,asmda,missile defense,missile,space missile defense,space missile
94,asof,open house,fort carson,carson,open
95,miele,atec,amsaa,test,karbler
96,cashe,fenderson,3rd,dodge,said fenderson
97,kama,robinson,kama said,case,jackie
98,new soldiers,ga,joining,soldiers,new
99,sal,said sal,1ad,ring,war
