,0,1,2,3,4
0,farp,aviation,aviation assets,division air assault,division air
1,intelligence,326th,specialties,junior,tscif
2,ada,air defense,air,defense,air missile
3,82nd,1100th,helicopter,aviation,tasmg
4,115th,resolute sentinel,resolute,guatemala,sentinel
5,100th,colorado,space,missile defense brigade,defense brigade
6,cloud,gfebs,migration,hub,aesip hub
7,linder,airborne,sumner,said linder,noble partner
8,italian,mensa,food,facility,baldwin
9,crosland,west point,west,point,parents
10,sexual,sexual assault,assault,walk,events
11,jlots,course,bresley,opening,soldiers
12,apache,national guard,guard,gunnery,risks
13,gunnery,ar,37 ar,37,vernon
14,fy21,clea,evaluated,dea,microsoft teams
15,data,data science,intelligence,science,analysts
16,volunteers,shields,face shields,face,group
17,217th,jones,burt,networks,brigade
18,smith,34,cavoli,39,grandfather
19,266th,21st,fmsc,266th fmsc,34
20,pdf,army mil,officers,https,mil
21,bda,pdf,ways conduct bda,ways conduct,train organize 2t
22,brasher,brasher said,convoy,prt,ana
23,cbrn,competitors,34,competition,howard
24,marine,hawaii,artillery,valley,tropic lightning soldiers
25,facility,tcf,saliyah,everitt,disn
26,evacuees,freedom,mcclung,village,freedom village
27,hccc,detachment,11th,harbormaster,eustis
28,3rd,3rd combat aviation,3rd combat,17th,ah 64e
29,nelson,nelson said,39,said,equipment
30,food,lrc north,north,subsistence,lrc
31,ltesm,poland,405th,aps,army field support
32,logcap,flintlock,africa,divoire,cte divoire
33,logcap,power,monico,405th,africa
34,floresrivera,atvs,livorno,said floresrivera,floresrivera said
35,tec,awards,416th,409th,competition
36,signer,loadmaster,evacuation,said signer,mission
37,ne,mnc ne,mnc,division,command post
38,rok,intelligence,inscom,alliance,winegar
39,cold,cold response,port opening,transportation,response
40,masks,riggers,prototypes,maintenance section,aviano
41,yang,airman,yang said,citizenship,born
42,pizzi,passengers,airlift,pizzi said,situation
43,34,pollak,klatt,deon,battalion
44,limestone,projects,route,jones,clearance
45,tin,fort devens,devens,812th,signal brigade
46,marine,mv 22b,mv,22b,aircraft
47,castellanos,fresno,84th training command,84th training,84th
48,casualty,hrsc,8th,human resources,casualty operations division
49,contracting,installation contracting,contracting command,000,mission installation contracting
50,contracting,923rd,contract,riley,micc
51,ezzat,pentagon,lea,corps,11
52,c5isr,cbm,data,systems,c5isr center
53,inf div,div,inf,3rd,national guard
54,manufacturing,additive manufacturing,additive,view article,thread dt operates
55,business,sba,guzman,williams,thats
56,sfab,2nd sfab,africa,2nd,sfabs
57,aer,mason,hawaii,reasons,rent
58,peo iew,iew,peo,working peo iew,working peo
59,korea,maintenance,afsbn,afsbn korea,2id
60,colombo,colombos,surprise,visit,ederle
61,virus,meddac,singletary,sanitation,environmental services
62,panama,case,hodge,fms,visit
63,battery,slovakia,air defense,air,patriot
64,alaska,scouts,national,national guard,guard
65,technology,jadc2,americas corps,americas,indo
66,altess,cloud,amc,migration,applications
67,patriot,lars,training,glaspie,radar
68,amlc,sharp,saapm,sexual,team
69,hopkins,movement,transportation,fort drum,drum
70,sexual,knox,fort knox,sexual assault,sudds
71,space,34,badge,space badge,39
72,cohort,graduates,program,cohort program,cohort 14
73,children,apg,tmas,words,reynolds
74,prevention,apg,safety,little,smoke
75,chiquita,baby,said chiquita,richmond,said
76,flight,zephyr,uas,endurance,airspace
77,cft,space,navigation,space cft,apnt space
78,task,task force,jmtg,training,ukraine
79,arma,submit,maintenance,work orders,enfield
80,coffman,coffman said,china,armored,said
81,network,division,itn,sbu,communications
82,villa,satmo,security assistance,mcconville,assistance
83,rubio,rubio said,iss,astronaut,2017
84,engines,t700,p09,edecu,upgrade
85,rental,cid,rentals,labarge,property
86,social,social media,palmer,media,palmer said
87,cloud,software,plan,design software,cloud plan
88,arcyber,cyber,army cyber,mors,presentation
89,arcyber,ia,cyber,army cyber,summit
90,innovation,kim,innovators,boston,constitution
91,pdf,photos pdf pdf,photos pdf,org chart photos,org chart
92,videos,food,training videos,dfacs,standards
93,asmda,missile defense,missile,space missile defense,space missile
94,asof,open house,fort carson,carson,open
95,miele,atec,amsaa,test,karbler
96,cashe,fenderson,3rd,dodge,said fenderson
97,kama,robinson,kama said,case,martial
98,new soldiers,ga,joining,soldiers,hellriegel
99,sal,said sal,1ad,ring,war
